"","id","group"
"1","01100 MMetabolic pathways","1.0 Global and overview maps"
"2","01110 MBiosynthesis of secondary metabolites","1.0 Global and overview maps"
"3","01120 MMicrobial metabolism in diverse environments","1.0 Global and overview maps"
"4","01200 M RCarbon metabolism","1.0 Global and overview maps"
"5","01210 M R2-Oxocarboxylic acid metabolism","1.0 Global and overview maps"
"6","01212 M RFatty acid metabolism","1.0 Global and overview maps"
"7","01230 M RBiosynthesis of amino acids","1.0 Global and overview maps"
"8","01232 MNucleotide metabolism","1.0 Global and overview maps"
"9","01250 M RBiosynthesis of nucleotide sugars","1.0 Global and overview maps"
"10","01240 M RBiosynthesis of cofactors","1.0 Global and overview maps"
"11","01220 M RDegradation of aromatic compounds","1.0 Global and overview maps"
"12","00010 M NGlycolysis / Gluconeogenesis","1.1 Carbohydrate metabolism"
"13","00020 M NCitrate cycle (TCA cycle)00030 MPentose phosphate pathway","1.1 Carbohydrate metabolism"
"14","00040 MPentose and glucuronate interconversions","1.1 Carbohydrate metabolism"
"15","00051 MFructose and mannose metabolism","1.1 Carbohydrate metabolism"
"16","00052 M NGalactose metabolism","1.1 Carbohydrate metabolism"
"17","00053 MAscorbate and aldarate metabolism","1.1 Carbohydrate metabolism"
"18","00500 M NStarch and sucrose metabolism","1.1 Carbohydrate metabolism"
"19","00520 M NAmino sugar and nucleotide sugar metabolism","1.1 Carbohydrate metabolism"
"20","00620 M NPyruvate metabolism","1.1 Carbohydrate metabolism"
"21","00630 MGlyoxylate and dicarboxylate metabolism","1.1 Carbohydrate metabolism"
"22","00640 MPropanoate metabolism","1.1 Carbohydrate metabolism"
"23","00650 MButanoate metabolism","1.1 Carbohydrate metabolism"
"24","00660 MC5-Branched dibasic acid metabolism","1.1 Carbohydrate metabolism"
"25","00562 MInositol phosphate metabolism","1.1 Carbohydrate metabolism"
"26","00190 MOxidative phosphorylation","1.2 Energy metabolism"
"27","00195 MPhotosynthesis","1.2 Energy metabolism"
"28","00196Photosynthesis - antenna proteins","1.2 Energy metabolism"
"29","00710 MCarbon fixation in photosynthetic organisms","1.2 Energy metabolism"
"30","00720 MCarbon fixation pathways in prokaryotes","1.2 Energy metabolism"
"31","00680 MMethane metabolism","1.2 Energy metabolism"
"32","00910 MNitrogen metabolism","1.2 Energy metabolism"
"33","00920 MSulfur metabolism","1.2 Energy metabolism"
"34","00061 MFatty acid biosynthesis","1.3 Lipid metabolism"
"35","00062 MFatty acid elongation","1.3 Lipid metabolism"
"36","00071 M NFatty acid degradation","1.3 Lipid metabolism"
"37","00073Cutin, suberine and wax biosynthesis","1.3 Lipid metabolism"
"38","00100 M NSteroid biosynthesis","1.3 Lipid metabolism"
"39","00120 M NPrimary bile acid biosynthesis","1.3 Lipid metabolism"
"40","00121Secondary bile acid biosynthesis","1.3 Lipid metabolism"
"41","00140 M NSteroid hormone biosynthesis","1.3 Lipid metabolism"
"42","00561 MGlycerolipid metabolism","1.3 Lipid metabolism"
"43","00564 MGlycerophospholipid metabolism","1.3 Lipid metabolism"
"44","00565 MEther lipid metabolism","1.3 Lipid metabolism"
"45","00600 M NSphingolipid metabolism","1.3 Lipid metabolism"
"46","00590Arachidonic acid metabolism","1.3 Lipid metabolism"
"47","00591Linoleic acid metabolism","1.3 Lipid metabolism"
"48","00592 Malpha-Linolenic acid metabolism","1.3 Lipid metabolism"
"49","01040 M NBiosynthesis of unsaturated fatty acids","1.3 Lipid metabolism"
"50","00230 M NPurine metabolism","1.4 Nucleotide metabolism"
"51","00240 MPyrimidine metabolism","1.4 Nucleotide metabolism"
"52","00250 MAlanine, aspartate and glutamate metabolism","1.5 Amino acid metabolism"
"53","00260 M NGlycine, serine and threonine metabolism","1.5 Amino acid metabolism"
"54","00270 M NCysteine and methionine metabolism","1.5 Amino acid metabolism"
"55","00280 M NValine, leucine and isoleucine degradation","1.5 Amino acid metabolism"
"56","00290 MValine, leucine and isoleucine biosynthesis","1.5 Amino acid metabolism"
"57","00300 MLysine biosynthesis","1.5 Amino acid metabolism"
"58","00310 M NLysine degradation","1.5 Amino acid metabolism"
"59","00220 M NArginine biosynthesis","1.5 Amino acid metabolism"
"60","00330 M NArginine and proline metabolism","1.5 Amino acid metabolism"
"61","00340 MHistidine metabolism","1.5 Amino acid metabolism"
"62","00350 M NTyrosine metabolism","1.5 Amino acid metabolism"
"63","00360 MPhenylalanine metabolism","1.5 Amino acid metabolism"
"64","00380 M NTryptophan metabolism","1.5 Amino acid metabolism"
"65","00400 M NPhenylalanine, tyrosine and tryptophan biosynthesis","1.5 Amino acid metabolism"
"66","00410 Mbeta-Alanine metabolism","1.6 Metabolism of other amino acids"
"67","00430 MTaurine and hypotaurine metabolism","1.6 Metabolism of other amino acids"
"68","00440Phosphonate and phosphinate metabolism","1.6 Metabolism of other amino acids"
"69","00450Selenocompound metabolism","1.6 Metabolism of other amino acids"
"70","00460 MCyanoamino acid metabolism","1.6 Metabolism of other amino acids"
"71","00470 MD-Amino acid metabolism","1.6 Metabolism of other amino acids"
"72","00480 M NGlutathione metabolism","1.6 Metabolism of other amino acids"
"73","00510 M NN-Glycan biosynthesis","1.7 Glycan biosynthesis and metabolism"
"74","00513 MVarious types of N-glycan biosynthesis","1.7 Glycan biosynthesis and metabolism"
"75","00512 MMucin type O-glycan biosynthesis","1.7 Glycan biosynthesis and metabolism"
"76","00515 M NMannose type O-glycan biosynthesis","1.7 Glycan biosynthesis and metabolism"
"77","00514Other types of O-glycan biosynthesis","1.7 Glycan biosynthesis and metabolism"
"78","00532 M NGlycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","1.7 Glycan biosynthesis and metabolism"
"79","00534 M NGlycosaminoglycan biosynthesis - heparan sulfate / heparin","1.7 Glycan biosynthesis and metabolism"
"80","00533Glycosaminoglycan biosynthesis - keratan sulfate","1.7 Glycan biosynthesis and metabolism"
"81","00531 M NGlycosaminoglycan degradation","1.7 Glycan biosynthesis and metabolism"
"82","00563 M NGlycosylphosphatidylinositol (GPI)-anchor biosynthesis","1.7 Glycan biosynthesis and metabolism"
"83","00601 M NGlycosphingolipid biosynthesis - lacto and neolacto series","1.7 Glycan biosynthesis and metabolism"
"84","00603 M NGlycosphingolipid biosynthesis - globo and isoglobo series","1.7 Glycan biosynthesis and metabolism"
"85","00604 MGlycosphingolipid biosynthesis - ganglio series","1.7 Glycan biosynthesis and metabolism"
"86","00511Other glycan degradation","1.7 Glycan biosynthesis and metabolism"
"87","00540 MLipopolysaccharide biosynthesis","1.7 Glycan biosynthesis and metabolism"
"88","00542O-Antigen repeat unit biosynthesis","1.7 Glycan biosynthesis and metabolism"
"89","00541 MO-Antigen nucleotide sugar biosynthesis","1.7 Glycan biosynthesis and metabolism"
"90","00550Peptidoglycan biosynthesis","1.7 Glycan biosynthesis and metabolism"
"91","00552Teichoic acid biosynthesis","1.7 Glycan biosynthesis and metabolism"
"92","00571Lipoarabinomannan (LAM) biosynthesis","1.7 Glycan biosynthesis and metabolism"
"93","00572Arabinogalactan biosynthesis - Mycobacterium","1.7 Glycan biosynthesis and metabolism"
"94","00543Exopolysaccharide biosynthesis","1.7 Glycan biosynthesis and metabolism"
"95","00730 MThiamine metabolism","1.8 Metabolism of cofactors and vitamins"
"96","00740 MRiboflavin metabolism","1.8 Metabolism of cofactors and vitamins"
"97","00750 MVitamin B6 metabolism","1.8 Metabolism of cofactors and vitamins"
"98","00760 MNicotinate and nicotinamide metabolism","1.8 Metabolism of cofactors and vitamins"
"99","00770 MPantothenate and CoA biosynthesis","1.8 Metabolism of cofactors and vitamins"
"100","00780 MBiotin metabolism","1.8 Metabolism of cofactors and vitamins"
"101","00785 M NLipoic acid metabolism","1.8 Metabolism of cofactors and vitamins"
"102","00790 M NFolate biosynthesis","1.8 Metabolism of cofactors and vitamins"
"103","00670 M NOne carbon pool by folate","1.8 Metabolism of cofactors and vitamins"
"104","00830Retinol metabolism","1.8 Metabolism of cofactors and vitamins"
"105","00860 M NPorphyrin metabolism","1.8 Metabolism of cofactors and vitamins"
"106","00130 MUbiquinone and other terpenoid-quinone biosynthesis","1.8 Metabolism of cofactors and vitamins"
