"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm"
"1","1.8 Metabolism of cofactors and vitamins",0.388888888888889,"Porphyrin Metabolism","map00860",0.000126490919353639,14,36,0.0035417457419019,0.0035417457419019
"2","1.3 Lipid metabolism",0.4,"Phospholipid Biosynthesis","map00564",0.00101302413231406,10,25,0.0141823378523969,0.0273516515724797
"3","1.8 Metabolism of cofactors and vitamins",0.375,"Ubiquinone Biosynthesis","map00130",0.0162437382611891,6,16,0.151608223771098,0.422337194790917
"4","1.8 Metabolism of cofactors and vitamins",0.304347826086957,"One carbon pool by folate","map00670",0.0315044468950752,7,23,0.220531128265527,0.78761117237688
"5","1.2 Energy metabolism",0.25,"Oxidative phosphorylation","map00190",0.231469353497729,3,12,0.998567456968428,1
"6","1.3 Lipid metabolism",0.181818181818182,"Steroid Biosynthesis","map00100",0.268319529179924,8,44,0.998567456968428,1
"7","1.1 Carbohydrate metabolism",0.169811320754717,"Starch and sucrose metabolism","map00500",0.321656564388771,9,53,0.998567456968428,1
"8","1.3 Lipid metabolism",0.166666666666667,"Primary bile acid biosynthesis","map00120",0.328739243100556,10,60,0.998567456968428,1
"9","1.1 Carbohydrate metabolism",0.161290322580645,"Phosphatidylinositol Phosphate Metabolism","map00562",0.447657754131117,5,31,0.998567456968428,1
"10","1.3 Lipid metabolism",0.166666666666667,"Glycerolipid Metabolism","map00561",0.476231923045273,3,18,0.998567456968428,1
"11","1.1 Carbohydrate metabolism",0.16,"Galactose Metabolism","map00052",0.477189657986768,4,25,0.998567456968428,1
"12","1.8 Metabolism of cofactors and vitamins",0.153846153846154,"Retinol Metabolism","map00830",0.50993478675765,4,26,0.998567456968428,1
"13","1.3 Lipid metabolism",0.135135135135135,"Steroidogenesis","map00140",0.615867079280918,5,37,0.998567456968428,1
"14","1.3 Lipid metabolism",0.125,"Biosynthesis of unsaturated fatty acids","map01040",0.683527382985557,2,16,0.998567456968428,1
"15","1.5 Amino acid metabolism",0.125,"Glycine, serine and threonine metabolism","map00260",0.699994957221485,7,56,0.998567456968428,1
"16","1.3 Lipid metabolism",0.125,"Arachidonic Acid Metabolism","map00590",0.706397936138664,8,64,0.998567456968428,1
"17","1.2 Energy metabolism",0.12,"Nitrogen metabolism","map00910",0.708588567967666,3,25,0.998567456968428,1
"18","1.5 Amino acid metabolism",0.117647058823529,"Methionine Metabolism","map00270",0.751541605612277,6,51,0.998567456968428,1
"19","1.5 Amino acid metabolism",0.114285714285714,"Histidine metabolism","map00340",0.752549305474298,4,35,0.998567456968428,1
"20","1.1 Carbohydrate metabolism",0.0857142857142857,"Amino Sugar Metabolism","map00520",0.894056333597818,3,35,0.998567456968428,1
"21","Deleted pathways from Kegg",0.0740740740740741,"Androgen and Estrogen Metabolism","map00150",0.914137181129132,2,27,0.998567456968428,1
"22","1.5 Amino acid metabolism",0.0714285714285714,"Phenylalanine and Tyrosine Metabolism","map00360",0.924384815463565,2,28,0.998567456968428,1
"23","1.5 Amino acid metabolism",0.08,"Arginine and proline metabolism","map00330",0.941818098463515,4,50,0.998567456968428,1
"24","1.3 Lipid metabolism",0.0555555555555556,"Fatty acid Metabolism","map00071",0.973637576691167,2,36,0.998567456968428,1
"25","1.4 Nucleotide metabolism",0.0576923076923077,"Pyrimidine metabolism","map00240",0.985991653237567,3,52,0.998567456968428,1
"26","1.5 Amino acid metabolism",0.0555555555555556,"Tryptophan metabolism","map00380",0.989163035809807,3,54,0.998567456968428,1
"27","1.4 Nucleotide metabolism",0.0588235294117647,"Purine metabolism","map00230",0.992775259415842,4,68,0.998567456968428,1
"28","1.5 Amino acid metabolism",0.0434782608695652,"Tyrosine metabolism","map00350",0.998567456968428,3,69,0.998567456968428,1
