"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.8 Metabolism of cofactors and vitamins",0.388888888888889,"Porphyrin Metabolism","map00860",0.000126490919353639,14,36,0.0035417457419019,0.0035417457419019,"Biliverdin;
Farnesyl pyrophosphate;
Heme O;
Coproporphyrin III;
Heme;
Urobilinogen;
Coproporphyrinogen III;
Coproporphyrinogen I;
Coproporphyrin I;
Protoporphyrin IX;
Heme A;
Bilirubin;
(4E,15Z)-Bilirubin;
(4E,15E)-Bilirubin;
Protoporphyrinogen IX;
PRIN9;
PPGEN9;
COPRO3;
Ammonia;
BIL;
Biliverdin;
2-trans,6-trans-farnesyl diphosphate;
ferroheme b;
COPRO1;
D-UBGN;
farnesyl diphosphate;
Heme;
D-UBGN;
Diphosphoric acid,P-(3,7,11-trimethyl-2,6,10-dodecatrienyl) ester;
biliverdin-IX-alpha"
"2","1.3 Lipid metabolism",0.4,"Phospholipid Biosynthesis","map00564",0.00101302413231406,10,25,0.0141823378523969,0.0273516515724797,"LysoPC(14:1(9Z)/0:0);
PC(16:0/16:0);
PS(16:0/16:0);
LysoPE(16:0/0:0);
PA(16:0/16:0);
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PGP(16:0/16:0);
Dipalmitoylphosphatidylglycerol;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-hexadecanoyl-sn-glycero-3-phosphoethanolamine;
1,2-dihexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol);
1,2-dihexadecanoyl-rac-glycerol;
dipalmitoyl phosphatidate;
1,2-dihexadecanoyl-sn-glycero-3-phosphate;
1,2-dihexadecanoyl-rac-glycerol;
1,2-dihexadecanoyl-sn-glycero-3-phosphoserine;
1,2-dihexadecanoyl-sn-glycero-3-cytidine-5'-diphosphate;
1,2-dihexadecanoyl-rac-glycerol;
1,2-dihexadecanoyl-rac-glycerol;
1,2-dihexadecanoyl-rac-glycerol;
LysoPA(0:0/18:0);
LysoPA(0:0/18:2(9Z,12Z));
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
PA(18:1(11Z)/18:1(11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(14:0/P-18:1(11Z));
PC(14:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(15:0/24:1(15Z));
PC(15:0/P-16:0);
PC(15:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(16:1(9Z)/P-18:0);
PC(16:1(9Z)/P-18:1(11Z));
PC(18:1(11Z)/14:1(9Z));
PC(18:1(11Z)/15:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(18:1(9Z)/P-16:0);
PC(18:1(9Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:3(6Z,9Z,12Z)/P-16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z));
PC(20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z));
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:4(7Z,10Z,13Z,16Z)/P-18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/15:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:5(7Z,10Z,13Z,16Z,19Z)/15:0);
PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:0);
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1,2-dihexadecanoyl-sn-glycero-3-phospho-(1'-myo-inositol);
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
2,3-Bis(palmitoyloxy)propyl dihydrogen phosphate;
1,2-Dipalmitoylphosphatidylcholine;
[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate;
1-Palmitoylphosphatidylcholine;
2-Lysophosphatidylcholine"
"3","1.8 Metabolism of cofactors and vitamins",0.375,"Ubiquinone Biosynthesis","map00130",0.0162437382611891,6,16,0.151608223771098,0.422337194790917,"all-trans-Hexaprenyl diphosphate;
3-Hexaprenyl-4,5-Dihydroxybenzoic acid;
3-Hexaprenyl-4-hydroxy-5-methoxybenzoic acid;
S-Adenosylhomocysteine;
AdoHcy;
3,7,11,15,19,23-hexamethyltetracosa-2E,6E,10E,14E,18E,22-hexaen-1-yl trihydrogen diphosphate;
Coenzyme Q6;
2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone;
ubiquinone-8"
"4","1.8 Metabolism of cofactors and vitamins",0.304347826086957,"One carbon pool by folate","map00670",0.0315044468950752,7,23,0.220531128265527,0.78761117237688,"5-Methyl Tetrahydrofolate;
Tetrahydrofolate;
5-Formiminotetrahydrofolic acid;
10-Formyl Tetrahydrofolate;
5,10-Methenyltetrahydrofolic acid;
Pteroyl-D-glutamic acid;
Folinic acid;
5,10-Methenyl Tetrahydrofolate;
5,10-Methenyltetrahydrofolic acid;
10-Formyl-THF;
5-formimidoyltetrahydrofolic acid;
5-Methyl-THF;
Ammonia;
Tetrahydrofolic acid;
(6R)-5,10-methenyltetrahydrofolate;
5-Formyl-THF;
5,10-Methenyl-THF;
5-methyl-THF;
5,10-Methylene-THF;
5,6,7,8-Tetrahydrofolic acid;
(4S)-4-[[4-(3-Amino-1-oxo-5,6,6a,7-tetrahydro-2H-imidazo[1,5-f]pteridin-10-ium-8-yl)benzoyl]amino]-5-hydroxy-5-oxopentanoate;
(6R)-Folinic acid;
Levomefolic acid;
5-formyl-tetrahydrofolate;
tetrahydrofolate"
"5","1.2 Energy metabolism",0.25,"Oxidative phosphorylation","map00190",0.231469353497729,3,12,0.998567456968428,1,"Heme;
Coenzyme Q10;
Ubiquinol 8;
ferroheme b;
Coenzyme Q10;
Coenzyme Q10;
Heme;
Ensorb"
"6","1.3 Lipid metabolism",0.181818181818182,"Steroid Biosynthesis","map00100",0.268319529179924,8,44,0.998567456968428,1,"CE(12:0);
Farnesyl pyrophosphate;
Heme;
7-Dehydrodesmosterol;
Presqualene diphosphate;
4,4-Dimethylcholesta-8,14,24-trienol;
4,4-Dimethyl-5a-cholesta-8,24-dien-3-b-ol;
Presqualene diphosphate;
2-trans,6-trans-farnesyl diphosphate;
ferroheme b;
4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol;
14-demethyllanosterol;
7-Dehydrodesmosterol;
farnesyl diphosphate;
CE(12:0);
Heme;
CE(10:0);
CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));
4,4-Dimethyl-5a-cholesta-8-en-3b-ol;
22:6 Cholesteryl ester;
Diphosphoric acid,P-(3,7,11-trimethyl-2,6,10-dodecatrienyl) ester;
14-demethyllanosterol;
4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol;
4,4-dimethylzymosterol"
"7","1.1 Carbohydrate metabolism",0.169811320754717,"Starch and sucrose metabolism","map00500",0.321656564388771,9,53,0.998567456968428,1,"Maltotriose;
Galactosylceramide (d18:1/16:0);
PC(16:0/16:0);
LacCer(d18:1/12:0);
SM(d18:1/18:0);
beta-D-Galactopyranosyl-(1->4)-beta-D-galactopyranosyl-(1->4)-D-galactose;
Cer(d18:1/12:0);
Dextrin;
Glycogen;
LacCer(d18:1/16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
GlcCer(d18:1/12:0);
Lac;
Cer(d18:1/12:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
GlcCer(d18:1/12:0);
C18 SM;
SM(d18:1/18:0);
Galabiosylceramide (d18:1/9Z-18:1);
Cer(d18:1/20:0);
GlcCer(d18:1/9Z-18:1);
GlcCer(d18:1/16:0);
GlcCer(d18:1/18:0);
GlcCer(d18:1/20:0);
GlcCer(d18:1/22:0);
GlcCer(d18:1/24:1(15Z));
GlcCer(d18:1/25:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(14:0/P-18:1(11Z));
PC(14:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(15:0/24:1(15Z));
PC(15:0/P-16:0);
PC(15:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(16:1(9Z)/P-18:0);
PC(16:1(9Z)/P-18:1(11Z));
PC(18:1(11Z)/14:1(9Z));
PC(18:1(11Z)/15:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(18:1(9Z)/P-16:0);
PC(18:1(9Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:3(6Z,9Z,12Z)/P-16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z));
PC(20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z));
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:4(7Z,10Z,13Z,16Z)/P-18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/15:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:5(7Z,10Z,13Z,16Z,19Z)/15:0);
PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:0);
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
Galactosylceramide (d18:1/18:0);
Galactosylceramide (d18:1/20:0);
Galactosylceramide (d18:1/22:0);
Galactosylceramide (d18:1/24:1(15Z));
Galactosylceramide (d18:1/18:1(9Z));
Lactosyceramide (d18:1/18:1(9Z));
Galactosylceramide (d18:1/12:0);
Galactosylceramide (d18:1/14:0);
1,2-Dipalmitoylphosphatidylcholine"
"8","1.3 Lipid metabolism",0.166666666666667,"Primary bile acid biosynthesis","map00120",0.328739243100556,10,60,0.998567456968428,1,"7alpha-Hydroxy-3-oxo-4-cholestenoate;
CE(12:0);
Tauroursodeoxycholic acid;
Heme;
Deoxycholic acid glycine conjugate;
Taurochenodesoxycholic acid;
Taurodeoxycholic acid;
Lithocholyltaurine;
Taurallocholic acid;
Chenodeoxycholic acid glycine conjugate;
Glycoursodeoxycholic acid;
Taurocholic acid;
Tauroursocholic acid;
N-(3alpha,7alpha-dihydroxy-5beta-cholan-24-oyl)-taurine;
ferroheme b;
3alpha,7alpha,12alpha,26,27-pentahydroxy-5beta-cholestane 26-sulfate;
Deoxycholic acid glycine conjugate;
N-(3alpha,7alpha,12alpha-trihydroxy-5beta-cholan-24-oyl)-taurine;
Lithocholyltaurine;
Chenodeoxycholic acid glycine conjugate;
7alpha-Hydroxy-3-oxo-4-cholestenoate;
Glycoursodeoxycholic acid;
Deoxycholylglycine;
N-(3alpha,12alpha-dihydroxy-5beta-cholan-24-oyl)-taurine;
N-(3alpha,7alpha,12alpha-trihydroxy-5beta-cholan-24-oyl)-taurine;
Chenodeoxycholic acid glycine conjugate;
N-(3alpha,7alpha-dihydroxy-5beta-cholan-24-oyl)-taurine;
CE(12:0);
Heme;
CE(10:0);
CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));
5b-Cyprinol sulfate;
Chenodeoxyglycocholic acid;
Chenodeoxycholylglycine;
Chenodeoxycholyltaurine;
22:6 Cholesteryl ester;
2-[(3alpha,7alpha,12alpha-Trihydroxy-24-oxocholane-24-yl)amino]ethanesulfonic acid"
"9","1.1 Carbohydrate metabolism",0.161290322580645,"Phosphatidylinositol Phosphate Metabolism","map00562",0.447657754131117,5,31,0.998567456968428,1,"DG(16:0/18:1(9Z)/0:0);
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycerol;
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol);
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate);
PIP(18:1(9Z)/16:0);
PIP2(16:0/18:1(9Z));
Diacylglycerol"
"10","1.3 Lipid metabolism",0.166666666666667,"Glycerolipid Metabolism","map00561",0.476231923045273,3,18,0.998567456968428,1,"TG(16:0/16:0/16:0);
PA(16:0/16:0);
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1,2-dihexadecanoyl-rac-glycerol;
1,2,3-trihexadecanoyl-sn-glycerol;
dipalmitoyl phosphatidate;
1,2-dihexadecanoyl-sn-glycero-3-phosphate;
1,2-dihexadecanoyl-rac-glycerol;
1,2-dihexadecanoyl-rac-glycerol;
1,2-dihexadecanoyl-rac-glycerol;
1,2-dihexadecanoyl-rac-glycerol;
LysoPA(0:0/18:0);
LysoPA(0:0/18:2(9Z,12Z));
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
PA(18:1(11Z)/18:1(11Z));
2,3-Bis(palmitoyloxy)propyl dihydrogen phosphate"
