"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.8 Metabolism of cofactors and vitamins",0.361111111111111,"Porphyrin Metabolism","map00860",0.000113010190983371,13,36,0.0038423464934346,0.0038423464934346,"Biliverdin;
Heme O;
Coproporphyrin III;
Urobilinogen;
Uroporphyrinogen I;
Uroporphyrinogen III;
Coproporphyrinogen III;
Coproporphyrinogen I;
Coproporphyrin I;
Protoporphyrin IX;
Uridine 5'-diphosphate;
Bilirubin;
(4E,15Z)-Bilirubin;
(4E,15E)-Bilirubin;
Protoporphyrinogen IX;
PRIN9;
PPGEN9;
URO3;
COPRO3;
BIL;
Biliverdin;
UDP;
COPRO1;
URO1;
D-UBGN;
D-UBGN"
"2","1.3 Lipid metabolism",0.4,"Phospholipid Biosynthesis","map00564",0.000293612937543215,10,25,0.00499141993823465,0.00968922693892608,"LysoPC(14:1(9Z)/0:0);
PC(16:0/16:0);
LysoPE(16:0/0:0);
PA(16:0/16:0);
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
Dipalmitoylphosphatidylglycerol;
1-hexadecanoyl-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-hexadecanoyl-sn-glycero-3-phosphoethanolamine;
1,2-dihexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol);
dipalmitoyl phosphatidate;
1,2-dihexadecanoyl-sn-glycero-3-phosphate;
1,2-dihexadecanoyl-sn-glycero-3-cytidine-5'-diphosphate;
1,2-dihexadecanoyl-rac-glycerol;
LysoPA(0:0/16:0);
LysoPA(0:0/18:0);
LysoPA(0:0/18:2(9Z,12Z));
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
PA(18:1(11Z)/18:1(11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(14:0/P-18:1(11Z));
PC(14:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(15:0/P-16:0);
PC(15:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(16:1(9Z)/P-18:1(11Z));
PC(18:1(11Z)/14:1(9Z));
PC(18:1(11Z)/15:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(18:1(9Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:3(6Z,9Z,12Z)/P-16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z));
PC(20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z));
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1,2-dihexadecanoyl-sn-glycero-3-phospho-(1'-myo-inositol);
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
2,3-Bis(palmitoyloxy)propyl dihydrogen phosphate;
1,2-Dipalmitoylphosphatidylcholine;
[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate;
Cytidine-5'-diphosphocholine"
"3","1.1 Carbohydrate metabolism",0.226415094339623,"Starch and sucrose metabolism","map00500",0.018750444713794,12,53,0.212505040089665,0.600014230841407,"Adenosine 3',5'-diphosphate;
Galactosylceramide (d18:1/16:0);
LacCer(d18:1/16:0);
3-O-Sulfogalactosylceramide (d18:1/24:0);
PC(16:0/16:0);
Cer(d18:1/12:0);
LacCer(d18:1/12:0);
ADP;
Uridine 5'-diphosphate;
SM(d18:1/18:0);
Glycogen;
LacCer(d18:1/16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
Cer(d18:1/12:0);
GlcCer(d18:1/12:0);
UDP;
Lac;
Adenosine 3',5'-diphosphate;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
C18 SM;
LacCer(d18:1/16:0);
3-O-Sulfogalactosylceramide (d18:1/24:0);
SM(d18:1/18:0);
Galabiosylceramide (d18:1/9Z-18:1);
Galabiosylceramide (d18:1/16:0);
Galabiosylceramide (d18:1/18:0);
Cer(d18:1/24:1(15Z));
Cer(d18:1/24:0);
Cer(d18:1/25:0);
GlcCer(d18:1/12:0);
GlcCer(d18:1/9Z-18:1);
GlcCer(d18:1/16:0);
GlcCer(d18:1/20:0);
LacCer(d18:1/16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(14:0/P-18:1(11Z));
PC(14:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(15:0/P-16:0);
PC(15:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(16:1(9Z)/P-18:1(11Z));
PC(18:1(11Z)/14:1(9Z));
PC(18:1(11Z)/15:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(18:1(9Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:3(6Z,9Z,12Z)/P-16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z));
PC(20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z));
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
Galactosylceramide (d18:1/20:0);
Galactosylceramide (d18:1/18:1(9Z));
LacCer(d18:1/18:0);
Lactosyceramide (d18:1/18:1(9Z));
Galactosylceramide (d18:1/12:0);
Galactosylceramide (d18:1/14:0);
1,2-Dipalmitoylphosphatidylcholine;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
Cytolipin H"
"4","1.1 Carbohydrate metabolism",0.193548387096774,"Phosphatidylinositol Phosphate Metabolism","map00562",0.164013132418526,6,31,0.994030020320898,1,"ADP;
1,4,5-Insp3;
Inositol 1,3,4-trisphosphate;
IP3;
I(1,3,4)P3;
Inositol 1,3,4-trisphosphate;
CDP-DG(16:0/18:1(9Z));
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol);
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate);
PIP(18:1(9Z)/16:0);
Inositol 1,3,4-triphosphate;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
"5","1.3 Lipid metabolism",0.222222222222222,"Glycerolipid Metabolism","map00561",0.165814801630148,4,18,0.994030020320898,1,"ADP;
PA(16:0/16:0);
1-hexadecanoyl-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
dipalmitoyl phosphatidate;
1,2-dihexadecanoyl-sn-glycero-3-phosphate;
1,2-dihexadecanoyl-rac-glycerol;
LysoPA(0:0/16:0);
LysoPA(0:0/18:0);
LysoPA(0:0/18:2(9Z,12Z));
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
PA(18:1(11Z)/18:1(11Z));
2,3-Bis(palmitoyloxy)propyl dihydrogen phosphate;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
"6","1.8 Metabolism of cofactors and vitamins",0.285714285714286,"Thiamine Metabolism","map00730",0.205655380257316,2,7,0.994030020320898,1,"Thiamine pyrophosphate;
ADP;
Thiamine pyrophosphate;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
"7","1.1 Carbohydrate metabolism",0.171428571428571,"Amino Sugar Metabolism","map00520",0.244990695586813,6,35,0.994030020320898,1,"Cytidine 5'-monophosphate-N-acetylneuraminic acid;
Chitobiose;
ADP;
Uridine 5'-diphosphate;
D-Glucosaminide;
CMP-Neu5Ac;
Cmp-nana;
UDP;
Glutamine;
N,N'-diacetylchitobiose;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
Lacdinac"
"8","1.6 Metabolism of other amino acids",0.173913043478261,"Selenocompound metabolism","map00450",0.304069350547007,4,23,0.994030020320898,1,"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein);
ADP;
AdeSeHCys;
AdeSeHCys;
Se-Adenosylselenomethionine;
AdeSeHCys;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
"9","1.8 Metabolism of cofactors and vitamins",0.173913043478261,"One carbon pool by folate","map00670",0.304069350547007,4,23,0.994030020320898,1,"5-Formiminotetrahydrofolic acid;
Dihydrofolate Vitamin B9;
ADP;
5,10-Methenyl Tetrahydrofolate;
DHF;
5,10-Methenyltetrahydrofolic acid;
5-formimidoyltetrahydrofolic acid;
(6R)-5,10-methenyltetrahydrofolate;
Dihydrofolate;
5,10-Methenyl-THF;
2-(4-(((2-Amino-4-oxo-3,4,7,8-tetrahydropteridin-6-yl)methyl)amino)benzamido)pentanedioic acid;
(4S)-4-[[4-(3-Amino-1-oxo-5,6,6a,7-tetrahydro-2H-imidazo[1,5-f]pteridin-10-ium-8-yl)benzoyl]amino]-5-hydroxy-5-oxopentanoate;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
"10","1.1 Carbohydrate metabolism",0.16,"Galactose Metabolism","map00052",0.363279165151132,4,25,0.994030020320898,1,"Stachyose;
ADP;
Uridine 5'-diphosphate;
UDP;
Lac;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
