"","kegg classifier","Detected versus pathway total ratio","kegg_pathwayname","pathwayId","Pval","Num_In_Path","Total_In_Path","Pval_FDR","Pval_Holm","Detected_metabolites"
"1","1.3 Lipid metabolism",0.44,"Phospholipid Biosynthesis","map00564",0.000111333047923482,11,25,0.00512132020448015,0.00512132020448015,"LysoPC(14:1(9Z)/0:0);
PS(16:0/16:0);
LysoPE(16:0/0:0);
PA(16:0/16:0);
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
Dipalmitoylphosphatidylglycerol;
1-hexadecanoyl-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-sn-glycero-3-phosphoethanolamine;
1,2-dihexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol);
dipalmitoyl phosphatidate;
1,2-dihexadecanoyl-sn-glycero-3-phosphate;
1,2-dihexadecanoyl-sn-glycero-3-phosphoserine;
PC(16:0/16:0);
1,2-dihexadecanoyl-sn-glycero-3-cytidine-5'-diphosphate;
1,2-dihexadecanoyl-rac-glycerol;
LysoPA(0:0/16:0);
LysoPA(0:0/18:0);
LysoPA(0:0/18:2(9Z,12Z));
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
PA(18:1(11Z)/18:1(11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(14:0/P-18:1(11Z));
PC(14:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(15:0/24:0);
PC(15:0/24:1(15Z));
PC(15:0/P-16:0);
PC(15:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(16:1(9Z)/P-18:1(11Z));
PC(18:1(11Z)/14:1(9Z));
PC(18:1(11Z)/15:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:3(6Z,9Z,12Z)/P-16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:1(11Z)/24:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z));
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/15:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:5(7Z,10Z,13Z,16Z,19Z)/15:0);
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(24:0/22:0);
PC(24:1(15Z)/20:0);
1,2-dihexadecanoyl-sn-glycero-3-phospho-(1'-myo-inositol);
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine;
2,3-Bis(palmitoyloxy)propyl dihydrogen phosphate;
[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate;
Cytidine-5'-diphosphocholine"
"2","1.1 Carbohydrate metabolism",0.387096774193548,"Phosphatidylinositol Phosphate Metabolism","map00562",0.0002360058226538,12,31,0.0054281339210374,0.010620262019421,"1-Diphosinositol pentakisphosphate;
5-Diphosphoinositol pentakisphosphate;
myo-Inositol 1,3,4,5,6-pentakisphosphate;
Bisdiphosphoinositol tetrakisphosphate;
ADP;
myo-Inositol hexakisphosphate;
1,4,5-Insp3;
Inositol 1,3,4-trisphosphate;
I(1,3,4,5,6)P5;
IP3;
Phosphatidylinositol-3,4,5-trisphosphate;
IP6;
I(1,3,4)P3;
5-Diphosphoinositol pentakisphosphate;
1D-myo-inositol 1,3,4-trisphosphate(6-);
1-Diphosinositol pentakisphosphate;
Inositol 1,3,4-trisphosphate;
Phosphatidylinositol-3,4,5-trisphosphate;
CDP-DG(16:0/18:1(9Z));
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol);
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate);
PIP(18:1(9Z)/16:0);
PIP2(16:0/18:1(9Z));
Inositol 1,3,4-triphosphate;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
inositol 1,3,4,5,6-pentakisphosphate;
D-myo-inositol (1,3,4)-trisphosphate;
D-myo-inositol (1,4,5)-trisphosphate"
"3","1.8 Metabolism of cofactors and vitamins",0.333333333333333,"Porphyrin Metabolism","map00860",0.00116913508881983,12,36,0.0160639950142596,0.0514419439080725,"Biliverdin;
Heme O;
Coproporphyrin III;
Heme;
Urobilinogen;
Uroporphyrinogen I;
Uroporphyrinogen III;
Coproporphyrinogen III;
Coproporphyrinogen I;
Coproporphyrin I;
Protoporphyrin IX;
Bilirubin;
(4E,15Z)-Bilirubin;
(4E,15E)-Bilirubin;
PRIN9;
URO3;
COPRO3;
BIL;
Biliverdin;
ferroheme b;
COPRO1;
URO1;
D-UBGN;
Heme;
D-UBGN;
biliverdin-IX-alpha"
"4","1.8 Metabolism of cofactors and vitamins",0.391304347826087,"One carbon pool by folate","map00670",0.00139686913167475,9,23,0.0160639950142596,0.060065372662014,"5-Methyl Tetrahydrofolate;
Tetrahydrofolate;
10-Formyl Tetrahydrofolate;
Dihydrofolate Vitamin B9;
Pteroyl-D-glutamic acid;
ADP;
Folate;
Folinic acid;
5,10-Methenyl Tetrahydrofolate;
DHF;
5,10-Methenyltetrahydrofolic acid;
10-Formyl-THF;
5-Methyl-THF;
NADP;
Tetrahydrofolic acid;
Folic acid;
(6R)-5,10-methenyltetrahydrofolate;
5-Formyl-THF;
Dihydrofolate;
5,10-Methenyl-THF;
5-methyl-THF;
5,6,7,8-Tetrahydrofolic acid;
2-(4-(((2-Amino-4-oxo-3,4,7,8-tetrahydropteridin-6-yl)methyl)amino)benzamido)pentanedioic acid;
(4S)-4-[[4-(3-Amino-1-oxo-5,6,6a,7-tetrahydro-2H-imidazo[1,5-f]pteridin-10-ium-8-yl)benzoyl]amino]-5-hydroxy-5-oxopentanoate;
Folcidin;
(6R)-Folinic acid;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
Levomefolic acid;
7,8-dihydrofolate;
NADP;
tetrahydrofolate"
"5","1.8 Metabolism of cofactors and vitamins",0.32,"Pterine Biosynthesis","map00790",0.010788167622316,8,25,0.0992511421253074,0.453103040137273,"Tetrahydrofolate;
Dihydrofolate Vitamin B9;
Folate;
Guanosine triphosphate;
DHF;
GTP;
NADP;
Tetrahydrofolic acid;
Folic acid;
2,5-Diaminopyrimidine nucleoside triphosphate;
Dihydrofolate;
Formamidopyrimidine nucleoside triphosphate;
2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine;
5,6,7,8-Tetrahydrofolic acid;
2-(4-(((2-Amino-4-oxo-3,4,7,8-tetrahydropteridin-6-yl)methyl)amino)benzamido)pentanedioic acid;
Folcidin;
[[(2S,3R,4R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate;
7,8-dihydrofolate;
NADP;
tetrahydrofolate"
"6","1.1 Carbohydrate metabolism",0.245283018867925,"Starch and sucrose metabolism","map00500",0.0144948170282105,13,53,0.111126930549614,0.594287498156632,"Adenosine 3',5'-diphosphate;
Maltotriose;
LacCer(d18:1/16:0);
Galactosylceramide (d18:1/16:0);
3-O-Sulfogalactosylceramide (d18:1/24:0);
Cer(d18:1/12:0);
LacCer(d18:1/12:0);
ADP;
SM(d18:1/18:0);
beta-D-Galactopyranosyl-(1->4)-beta-D-galactopyranosyl-(1->4)-D-galactose;
Uridine triphosphate;
Dextrin;
LacCer(d18:1/16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
GlcCer(d18:1/12:0);
Uridine triphosphate;
Adenosine 3',5'-diphosphate;
NADP;
3'-phosphonato-5'-adenylyl sulfate(4-);
Cer(d18:1/12:0);
GlcCer(d18:1/12:0);
C18 SM;
LacCer(d18:1/16:0);
PC(16:0/16:0);
3-O-Sulfogalactosylceramide (d18:1/24:0);
SM(d18:1/18:0);
Galabiosylceramide (d18:1/9Z-18:1);
Galabiosylceramide (d18:1/16:0);
Galabiosylceramide (d18:1/18:0);
Cer(d18:1/22:0);
Cer(d18:1/24:1(15Z));
Cer(d18:1/24:0);
GlcCer(d18:1/9Z-18:1);
GlcCer(d18:1/16:0);
GlcCer(d18:1/18:0);
GlcCer(d18:1/22:0);
GlcCer(d18:1/24:1(15Z));
GlcCer(d18:1/26:1(17Z));
LacCer(d18:1/16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(14:0/P-18:1(11Z));
PC(14:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(15:0/24:0);
PC(15:0/24:1(15Z));
PC(15:0/P-16:0);
PC(15:0/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(16:1(9Z)/P-18:1(11Z));
PC(18:1(11Z)/14:1(9Z));
PC(18:1(11Z)/15:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(18:3(6Z,9Z,12Z)/P-16:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:1(11Z)/24:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z));
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/15:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:0);
PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));
PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:5(7Z,10Z,13Z,16Z,19Z)/15:0);
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z));
PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z));
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z));
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0);
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0);
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
1-tetradecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine;
PC(24:0/22:0);
PC(24:1(15Z)/20:0);
Galactosylceramide (d18:1/18:0);
Galactosylceramide (d18:1/22:0);
Galactosylceramide (d18:1/24:1(15Z));
Galactosylceramide (d18:1/18:1(9Z));
LacCer(d18:1/18:0);
Lactosyceramide (d18:1/18:1(9Z));
Galactosylceramide (d18:1/14:0);
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
Cytolipin H;
[[(2S,5S)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate;
NADP;
phosphoadenosine-5'-phosphosulfate"
"7","1.1 Carbohydrate metabolism",0.257142857142857,"Amino Sugar Metabolism","map00520",0.0303716376986134,9,35,0.199585047733745,1,"Chitin;
Cytidine 5'-monophosphate-N-acetylneuraminic acid;
Chitobiose;
ADP;
Uridine triphosphate;
Acetyl CoA;
D-Glucosaminide;
Ac-CoA;
Uridine triphosphate;
CMP-Neu5Ac;
Cmp-nana;
Glutamine;
Acetyl-CoA;
N,N'-diacetylchitobiose;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
Acetyl CoA;
Lacdinac;
[[(2S,5S)-5-(2,4-Dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate;
UDP-alpha-D-xylose"
"8","1.1 Carbohydrate metabolism",0.236842105263158,"Pyruvate metabolism","map00620",0.0497961101196967,9,38,0.265328900360603,1,"2-(a-Hydroxyethyl)thiamine diphosphate;
Thiamine pyrophosphate;
GDP;
ADP;
Acetyl CoA;
Acetaldehyde;
Guanosine triphosphate;
Ac-CoA;
GTP;
methylglyoxal;
NADP;
2-(alpha-hydroxyethyl)thiamine diphosphate;
Thiamine pyrophosphate;
2-(a-Hydroxyethyl)thiamine diphosphate;
Acetyl-CoA;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
[[(2S,3R,4R,5R)-5-(2-Amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate;
Acetyl CoA;
Guanosine diphos-phate;
NADP"
"9","1.8 Metabolism of cofactors and vitamins",0.428571428571429,"Thiamine Metabolism","map00730",0.0519121761575093,3,7,0.265328900360603,1,"Thiamine pyrophosphate;
Thiamine triphosphate;
ADP;
Thiamine pyrophosphate;
Thiamine triphosphate;
Thiamine triphosphate;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate"
"10","1.3 Lipid metabolism",0.277777777777778,"Glycerolipid Metabolism","map00561",0.0748450328263236,5,18,0.344287151001088,1,"ADP;
PA(16:0/16:0);
NADP;
1-hexadecanoyl-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
dipalmitoyl phosphatidate;
1,2-dihexadecanoyl-sn-glycero-3-phosphate;
1,2-dihexadecanoyl-rac-glycerol;
LysoPA(0:0/16:0);
LysoPA(0:0/18:0);
LysoPA(0:0/18:2(9Z,12Z));
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphate;
PA(18:1(11Z)/18:1(11Z));
2,3-Bis(palmitoyloxy)propyl dihydrogen phosphate;
[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;
NADP"
