"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"1",400.341886086559,"[M+H]+","O-palmitoylcarnitine","AcylCarnitine 16:0",400.34213547,399.334859
"2",496.341206837068,"[M+H]+","
PC(0:0/16:0)","LPC 16:0",496.33976847,495.332492
"3",510.356422351432,"[M+H]+","PC(17:0/0:0)","LPC 17:0",510.35541847,509.348142
"4",524.371574765238,"[M+H]+","PC(0:0/18:0)","LPC 18:0",524.37106847,523.363792
"5",522.356673666386,"[M+H]+","PC(0:0/18:1(6Z))","LPC 18:1",522.35541847,521.348142
"6",518.320300034916,"[M+H]+","
PC(18:3(6Z,9Z,12Z)/0:0)","LPC 18:3(104)",518.32411847,517.316842
"7",580.43707399592,"[M+H]+","PC(22:0/0:0)","LPC 22:0",580.43366847,579.426392
"8",508.374503658756,"[M+H]+","PC(O-18:1(11Z)/0:0)","LPC(O-18:1)",508.37615347,507.368877
"9",508.374503658756,"[M+H]+","PC(P-18:0/0:0)","LPC(P-18:0)",508.37615347,507.368877
"10",706.540011872968,"[M+H]+","
PC(10:0/20:0)","PC 30:0",706.53813347,705.530857
"11",720.548585149992,"[M+H]+","PC(10:0/21:0)","PC 31:0 (a\b)",720.55378347,719.546507
"12",730.53470655503,"[M+H]+","
PC(12:0/20:2(11Z,14Z))","PC 32:2",730.53813347,729.530857
"13",758.570523424872,"[M+H]+","
PC(12:0/22:2(13Z,16Z))","PC 34:2",758.56943347,757.562157
"14",774.60475534233,"[M+H]+","
PC(13:0/22:1(11Z))","PC 35:1(a\b)",774.60073347,773.593457
"15",768.552886259093,"[M+H]+","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",768.55378347,767.546507
"16",782.570269962599,"[M+H]+","
PC(14:0/22:4(7Z,10Z,13Z,16Z))","PC 36:4(a\b)",782.56943347,781.562157
"17",834.603660553503,"[M+H]+","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC 40:6",834.60073347,833.593457
"18",746.611588008258,"[M+H]+","PC(O-16:0/18:1(9Z))","PC(O-34:1)",746.60581847,745.598542
"19",766.570177202892,"[M+H]+","PC(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PC(O-36:5)",766.57451847,765.567242
"20",746.611588008258,"[M+H]+","
PC(P-16:0/18:0)","PC(P-34:0)",746.60581847,745.598542
"21",766.570177202892,"[M+H]+","PC(P-16:0/20:4(5Z,8Z,11Z,14Z))","PC(P-36:4)",766.57451847,765.567242
"22",766.570177202892,"[M+H]+","
PC(P-16:0/20:4(5Z,8Z,11Z,14Z))","PC(P-37:4)(a\b)",766.57451847,765.567242
"23",718.536377762408,"[M+H]+","
PE(12:0/22:1(11Z))","PE 34:1",718.53813347,717.530857
"24",732.556906138393,"[M+H]+","
PE(13:0/22:1(11Z))","PE 35:1",732.55378347,731.546507
"25",730.53470655503,"[M+H]+","PE(13:0/22:2(13Z,16Z))","PE 35:2(a\b)",730.53813347,729.530857
"26",746.572024954788,"[M+H]+","PE(14:0/22:1(11Z))","PE 36:1",746.56943347,745.562157
"27",744.55808750719,"[M+H]+","PE(14:0/22:2(13Z,16Z))","PE 36:2(a\b)",744.55378347,743.546507
"28",768.552886259093,"[M+H]+","PE(16:0/22:4(7Z,10Z,13Z,16Z))","PE 38:4",768.55378347,767.546507
"29",790.559326274891,"[M+H]+","PS(14:0/22:1(11Z))","PS 36:1",790.55926347,789.551987
"30",788.548093032789,"[M+H]+","
PS(14:0/22:2(13Z,16Z))","PS 36:2",788.54361347,787.536337
"31",703.576334028219,"[M+H]+","
SM(d18:1/16:0)","SM 34:1",703.57485247,702.567576
"32",863.689991230699,"[M+H]+","Coenzyme Q10","Ubiquinone",863.69118647,862.68391
"33",778.617092038172,"[M+K]+","
PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE 36:4",778.613507,739.515207
"34",750.587379870301,"[M+Na]+","GlcCer(d18:1/18:0)","Hex1Cer(d18:1/18:0)",750.585988,727.596219
"35",778.617092038172,"[M+Na]+","
N-(eicosanoyl)-1-β-glucosyl-sphing-4-enine","Hex1Cer(d18:1/20:0)",778.617288,755.627519
"36",518.320300034916,"[M+Na]+","
PC(0:0/16:0)","LPC 16:0",518.322261,495.332492
"37",504.346624754868,"[M+Na]+","PC(O-16:0/0:0)","LPC(O-16:0)",504.342996,481.353227
"38",502.323695567086,"[M+Na]+","PC(P-16:0/0:0)","LPC(P-16:0)",502.327346,479.337577
"39",728.522028177419,"[M+Na]+","
PC(10:0/20:0)","PC 30:0",728.520626,705.530857
"40",742.535265191534,"[M+Na]+","PC(10:0/21:0)","PC 31:0 (a\b)",742.536276,719.546507
"41",780.557173471538,"[M+Na]+","
PC(12:0/22:2(13Z,16Z))","PC 34:2",780.551926,757.562157
"42",796.590082657984,"[M+Na]+","
PC(13:0/22:1(11Z))","PC 35:1(a\b)",796.583226,773.593457
