"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"CE 22:6.22:6 Cholesterol ester",695.579382086924,"[M-H]-","22:6 Cholesterol ester","CE 22:6",695.57725353,696.58453
"LPC 18:3(104).
PC(18:3(6Z,9Z,12Z)/0:0)",516.309752779599,"[M-H]-","
PC(18:3(6Z,9Z,12Z)/0:0)","LPC 18:3(104)",516.30956553,517.316842
"LPE 16:0.
PE(16:0/0:0)",452.282452410317,"[M-H]-","
PE(16:0/0:0)","LPE 16:0",452.27826553,453.285542
"LPE 18:0.PE(0:0/18:0)",480.310454826968,"[M-H]-","PE(0:0/18:0)","LPE 18:0",480.30956553,481.316842
"LPE 18:1.PE(0:0/18:1(11Z))",478.296613876628,"[M-H]-","PE(0:0/18:1(11Z))","LPE 18:1",478.29391553,479.301192
"LPE 18:2.
PE(18:2(9Z,12Z)/0:0)",476.274130382093,"[M-H]-","
PE(18:2(9Z,12Z)/0:0)","LPE 18:2",476.27826553,477.285542
"LPE 22:6.
PE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",524.277578338376,"[M-H]-","
PE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","LPE 22:6",524.27826553,525.285542
"LPE(P-18:1).PE(P-18:1)",462.299385720655,"[M-H]-","PE(P-18:1)","LPE(P-18:1)",462.29900053,463.306277
"LPI 18:0.LPI 18:0",599.321730283856,"[M-H]-","LPI 18:0","LPI 18:0",599.32019153,600.327468
"LPI 20:4.PI(20:4(5Z,8Z,11Z,14Z)/0:0)",619.290330561151,"[M-H]-","PI(20:4(5Z,8Z,11Z,14Z)/0:0)","LPI 20:4",619.28889153,620.296168
"PC 31:0 (a\b).PC(10:0/21:0)",718.539210760021,"[M-H]-","PC(10:0/21:0)","PC 31:0 (a\b)",718.53923053,719.546507
"PC 32:2.
PC(12:0/20:2(11Z,14Z))",728.525602624418,"[M-H]-","
PC(12:0/20:2(11Z,14Z))","PC 32:2",728.52358053,729.530857
"PC 34:2.
PC(12:0/22:2(13Z,16Z))",756.558328998219,"[M-H]-","
PC(12:0/22:2(13Z,16Z))","PC 34:2",756.55488053,757.562157
"PC 35:4.
PC(13:0/22:4(7Z,10Z,13Z,16Z))",766.540757723224,"[M-H]-","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",766.53923053,767.546507
"PE 34:1.
PE(12:0/22:1(11Z))",716.523140881661,"[M-H]-","
PE(12:0/22:1(11Z))","PE 34:1",716.52358053,717.530857
"PE 35:2(a\b).PE(13:0/22:2(13Z,16Z))",728.525602624418,"[M-H]-","PE(13:0/22:2(13Z,16Z))","PE 35:2(a\b)",728.52358053,729.530857
"PE 36:1.PE(14:0/22:1(11Z))",744.551176941143,"[M-H]-","PE(14:0/22:1(11Z))","PE 36:1",744.55488053,745.562157
"PE 36:2(a\b).PE(14:0/22:2(13Z,16Z))",742.534948102315,"[M-H]-","PE(14:0/22:2(13Z,16Z))","PE 36:2(a\b)",742.53923053,743.546507
"PE 36:4.
PE(16:0/20:4(5Z,8Z,11Z,14Z))",738.502479739156,"[M-H]-","
PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE 36:4",738.50793053,739.515207
"PE 38:4.PE(16:0/22:4(7Z,10Z,13Z,16Z))",766.540757723224,"[M-H]-","PE(16:0/22:4(7Z,10Z,13Z,16Z))","PE 38:4",766.53923053,767.546507
"PE 38:6.PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",762.501634852086,"[M-H]-","PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE 38:6",762.50793053,763.515207
"PE(O-36:5).PE(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))",722.514230788615,"[M-H]-","PE(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(O-36:5)",722.51301553,723.520292
"PE(O-40:6).
PE(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",776.561214048071,"[M-H]-","
PE(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(O-40:6)",776.55996553,777.567242
"PE(P-16:0/20:4).PE(P-16:0/20:4(5Z,8Z,11Z,14Z))",722.514230788615,"[M-H]-","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","PE(P-16:0/20:4)",722.51301553,723.520292
