"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"1",400.343074155624,"[M+H]+","O-palmitoylcarnitine","AcylCarnitine 16:0",400.34213547,399.334859
"2",784.66677262921,"[M+H]+","
GlcCer(d18:1/22:0)","Hex1Cer(d18:1/22:0)",784.66609547,783.658819
"3",810.688019256957,"[M+H]+","GlcCer(d18:2/24:0)","Hex1Cer(d18:2/24:0)",810.68174547,809.674469
"4",862.624777738291,"[M+H]+","
LacCer(d18:1/16:0)","Hex2Cer(d18:1/16:0)",862.62502047,861.617744
"5",918.686042606766,"[M+H]+","
LacCer(d18:1/20:0)","Hex2Cer(d18:1/20:0)",918.68762047,917.680344
"6",784.66677262921,"[M+H]+","LacCer(d18:1/22:0)","Hex2Cer(d18:1/22:0)",784.66609547,783.658819
"7",496.344333205825,"[M+H]+","
PC(0:0/16:0)","LPC 16:0",496.33976847,495.332492
"8",524.372135952117,"[M+H]+","PC(0:0/18:0)","LPC 18:0",524.37106847,523.363792
"9",522.360455529799,"[M+H]+","PC(0:0/18:1(6Z))","LPC 18:1",522.35541847,521.348142
"10",518.328707097434,"[M+H]+","
PC(18:3(6Z,9Z,12Z)/0:0)","LPC 18:3(104)",518.32411847,517.316842
"11",508.372140769641,"[M+H]+","PC(O-18:1(11Z)/0:0)","LPC(O-18:1)",508.37615347,507.368877
"12",508.372140769641,"[M+H]+","PC(P-18:0/0:0)","LPC(P-18:0)",508.37615347,507.368877
"13",482.324443184173,"[M+H]+","PE(0:0/18:0)","LPE 18:0",482.32411847,481.316842
"14",464.312366935352,"[M+H]+","PE(P-18:1)","LPE(P-18:1)",464.31355347,463.306277
"15",494.360344711232,"[M+H]+","PE(P-20:0)","LPE(P-20:0)",494.36050347,493.353227
"16",601.334217144902,"[M+H]+","LPI 18:0","LPI 18:0",601.33474447,600.327468
"17",706.544627174412,"[M+H]+","
PC(10:0/20:0)","PC 30:0",706.53813347,705.530857
"18",758.566699680241,"[M+H]+","
PC(12:0/22:2(13Z,16Z))","PC 34:2",758.56943347,757.562157
"19",774.606243090878,"[M+H]+","
PC(13:0/22:1(11Z))","PC 35:1(a\b)",774.60073347,773.593457
"20",768.552457689547,"[M+H]+","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",768.55378347,767.546507
"21",790.624646012195,"[M+H]+","
PC(11:0/25:0)","PC 36:0",790.63203347,789.624757
"22",834.602242471593,"[M+H]+","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC 40:6",834.60073347,833.593457
"23",820.621505208166,"[M+H]+","PC(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(O-40:6)",820.62146847,819.614192
"24",822.635351936785,"[M+H]+","PC(P-18:0/22:4(7Z,10Z,13Z,16Z))","PC(P-40:4)",822.63711847,821.629842
"25",820.621505208166,"[M+H]+","PC(P-20:0/20:5(5Z,8Z,11Z,14Z,17Z))","PC(P-40:5)(a\b)",820.62146847,819.614192
"26",818.607818505229,"[M+H]+","PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(P-40:6)",818.60581847,817.598542
"27",718.536537792161,"[M+H]+","
PE(12:0/22:1(11Z))","PE 34:1",718.53813347,717.530857
"28",732.5575739275,"[M+H]+","
PE(13:0/22:1(11Z))","PE 35:1",732.55378347,731.546507
