"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"1",784.66677262921,"[M+H]+","
GlcCer(d18:1/22:0)","Hex1Cer(d18:1/22:0)",784.66609547,783.658819
"2",862.624777738291,"[M+H]+","
LacCer(d18:1/16:0)","Hex2Cer(d18:1/16:0)",862.62502047,861.617744
"3",918.686042606766,"[M+H]+","
LacCer(d18:1/20:0)","Hex2Cer(d18:1/20:0)",918.68762047,917.680344
"4",784.66677262921,"[M+H]+","LacCer(d18:1/22:0)","Hex2Cer(d18:1/22:0)",784.66609547,783.658819
"5",482.324443184173,"[M+H]+","PE(0:0/18:0)","LPE 18:0",482.32411847,481.316842
"6",494.360344711232,"[M+H]+","PE(P-20:0)","LPE(P-20:0)",494.36050347,493.353227
"7",601.334217144902,"[M+H]+","LPI 18:0","LPI 18:0",601.33474447,600.327468
"8",768.552457689547,"[M+H]+","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",768.55378347,767.546507
"9",834.602242471593,"[M+H]+","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC 40:6",834.60073347,833.593457
"10",820.621505208166,"[M+H]+","PC(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(O-40:6)",820.62146847,819.614192
"11",820.621505208166,"[M+H]+","PC(P-20:0/20:5(5Z,8Z,11Z,14Z,17Z))","PC(P-40:5)(a\b)",820.62146847,819.614192
"12",746.569010472855,"[M+H]+","PE(14:0/22:1(11Z))","PE 36:1",746.56943347,745.562157
"13",768.552457689547,"[M+H]+","PE(16:0/22:4(7Z,10Z,13Z,16Z))","PE 38:4",768.55378347,767.546507
"14",700.528300166964,"[M+H]+","PE(P-16:0/18:2(9Z,12Z))","PE(P-16:0/18:2)",700.52756847,699.520292
"15",809.518146244292,"[M+H]+","PI(12:0/20:1(11Z))","PI 32:1",809.51745947,808.510183
"16",810.527079298443,"[M+H]+","PS(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))","PS 38:5",810.52796347,809.520687
"17",806.645616475402,"[M+K]+","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",806.644807,767.546507
"18",806.645616475402,"[M+K]+","PE(16:0/22:4(7Z,10Z,13Z,16Z))","PE 38:4",806.644807,767.546507
"19",877.655683327066,"[M+K]+","
PI(12:0/22:0)","PI 34:0",877.655433,838.557133
"20",832.663682019551,"[M+Na]+","GlcCer(d18:2/24:0)","Hex1Cer(d18:2/24:0)",832.664238,809.674469
"21",486.295588093046,"[M+Na]+","PE(P-18:1)","LPE(P-18:1)",486.296046,463.306277
"22",844.61920266805,"[M+Na]+","PC(P-18:0/22:4(7Z,10Z,13Z,16Z))","PC(P-40:4)",844.619611,821.629842
"23",754.536876718579,"[M+Na]+","
PE(13:0/22:1(11Z))","PE 35:1",754.536276,731.546507
"24",768.552457689547,"[M+Na]+","PE(14:0/22:1(11Z))","PE 36:1",768.551926,745.562157
"25",771.514865140413,"[M+Na]+","PG(12:0/22:1(11Z))","PG 34:1",771.515207,748.525438
"26",769.500847930406,"[M+Na]+","PG(12:0/22:2(13Z,16Z))","PG 34:2",769.499557,746.509788
"27",799.547777636632,"[M+Na]+","
PG(14:1(9Z)/22:0)","PG 36:1",799.546507,776.556738
"28",810.527079298443,"[M+Na]+","
PS(14:0/22:2(13Z,16Z))","PS 36:2",810.526106,787.536337
"29",711.541927273984,"[M+Na]+","
SM(d18:1/15:0)","SM 33:1",711.541695,688.551926
"30",825.694239277626,"[M+Na]+","TG(14:0/16:0/18:2(9Z,12Z))[iso6]","TG 14:0 16:0 18:2",825.694809,802.70504
"31",825.694239277626,"[M+Na]+","TG(14:0/16:1(9Z)/18:1(9Z))[iso6]","TG 14:0 16:1 18:1",825.694809,802.70504
