"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"CE 20:1.20:1 Cholesterol ester",677.630917200974,"[M-H]-","20:1 Cholesterol ester","CE 20:1",677.62420353,678.63148
"CE 22:6.22:6 Cholesterol ester",695.577523730334,"[M-H]-","22:6 Cholesterol ester","CE 22:6",695.57725353,696.58453
"Hex1Cer(d18:1/18:0).GlcCer(d18:1/18:0)",726.589737190186,"[M-H]-","GlcCer(d18:1/18:0)","Hex1Cer(d18:1/18:0)",726.58894253,727.596219
"Hex1Cer(d18:1/22:0).
GlcCer(d18:1/22:0)",782.655312113069,"[M-H]-","
GlcCer(d18:1/22:0)","Hex1Cer(d18:1/22:0)",782.65154253,783.658819
"Hex1Cer(d18:2/24:0).GlcCer(d18:2/24:0)",808.670876817129,"[M-H]-","GlcCer(d18:2/24:0)","Hex1Cer(d18:2/24:0)",808.66719253,809.674469
"Hex2Cer(d18:1/22:0).LacCer(d18:1/22:0)",782.655312113069,"[M-H]-","LacCer(d18:1/22:0)","Hex2Cer(d18:1/22:0)",782.65154253,783.658819
"LPE 16:0.
PE(16:0/0:0)",452.282538288087,"[M-H]-","
PE(16:0/0:0)","LPE 16:0",452.27826553,453.285542
"LPE 18:0.PE(0:0/18:0)",480.311063610859,"[M-H]-","PE(0:0/18:0)","LPE 18:0",480.30956553,481.316842
"LPE 18:1.PE(0:0/18:1(11Z))",478.29286964624,"[M-H]-","PE(0:0/18:1(11Z))","LPE 18:1",478.29391553,479.301192
"LPE 20:4.
PE(0:0/20:4(5Z,8Z,11Z,14Z))",500.283059213413,"[M-H]-","
PE(0:0/20:4(5Z,8Z,11Z,14Z))","LPE 20:4",500.27826553,501.285542
"LPI 18:0.LPI 18:0",599.320956883532,"[M-H]-","LPI 18:0","LPI 18:0",599.32019153,600.327468
"LPI 20:4.PI(20:4(5Z,8Z,11Z,14Z)/0:0)",619.292066078368,"[M-H]-","PI(20:4(5Z,8Z,11Z,14Z)/0:0)","LPI 20:4",619.28889153,620.296168
"PC 31:0 (a\b).PC(10:0/21:0)",718.537631943963,"[M-H]-","PC(10:0/21:0)","PC 31:0 (a\b)",718.53923053,719.546507
"PC 32:2.
PC(12:0/20:2(11Z,14Z))",728.520581982548,"[M-H]-","
PC(12:0/20:2(11Z,14Z))","PC 32:2",728.52358053,729.530857
"PC 34:2.
PC(12:0/22:2(13Z,16Z))",756.560954468311,"[M-H]-","
PC(12:0/22:2(13Z,16Z))","PC 34:2",756.55488053,757.562157
"PC 35:1(a\b).
PC(13:0/22:1(11Z))",772.589074117058,"[M-H]-","
PC(13:0/22:1(11Z))","PC 35:1(a\b)",772.58618053,773.593457
"PC 35:4.
PC(13:0/22:4(7Z,10Z,13Z,16Z))",766.541932920024,"[M-H]-","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",766.53923053,767.546507
"PE 35:2(a\b).PE(13:0/22:2(13Z,16Z))",728.520581982548,"[M-H]-","PE(13:0/22:2(13Z,16Z))","PE 35:2(a\b)",728.52358053,729.530857
"PE 36:1.PE(14:0/22:1(11Z))",744.561032312273,"[M-H]-","PE(14:0/22:1(11Z))","PE 36:1",744.55488053,745.562157
"PE 36:2(a\b).PE(14:0/22:2(13Z,16Z))",742.536313908038,"[M-H]-","PE(14:0/22:2(13Z,16Z))","PE 36:2(a\b)",742.53923053,743.546507
"PE 36:4.
PE(16:0/20:4(5Z,8Z,11Z,14Z))",738.509239828676,"[M-H]-","
PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE 36:4",738.50793053,739.515207
"PE 38:4.PE(16:0/22:4(7Z,10Z,13Z,16Z))",766.541932920024,"[M-H]-","PE(16:0/22:4(7Z,10Z,13Z,16Z))","PE 38:4",766.53923053,767.546507
"PE 38:6.PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",762.511291540362,"[M-H]-","PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE 38:6",762.50793053,763.515207
"PE(O-34:1).

PE(O-16:0/18:1(9Z))",702.547657161009,"[M-H]-","

PE(O-16:0/18:1(9Z))","PE(O-34:1)",702.54431553,703.551592
"PE(O-36:5).PE(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))",722.50866944097,"[M-H]-","PE(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(O-36:5)",722.51301553,723.520292
"PE(O-40:6).
PE(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",776.560087707092,"[M-H]-","
PE(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(O-40:6)",776.55996553,777.567242
"PE(P-16:0/20:4).PE(P-16:0/20:4(5Z,8Z,11Z,14Z))",722.50866944097,"[M-H]-","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","PE(P-16:0/20:4)",722.51301553,723.520292
"PE(P-18:0/18:1).PE(P-18:0/18:1(9Z))",728.553761217348,"[M-H]-","PE(P-18:0/18:1(9Z))","PE(P-18:0/18:1)",728.55996553,729.567242
"PG 36:1.
PG(14:1(9Z)/22:0)",775.543409487723,"[M-H]-","
PG(14:1(9Z)/22:0)","PG 36:1",775.54946153,776.556738
"PG 36:2.PG(14:0/22:2(13Z,16Z))",773.535987022676,"[M-H]-","PG(14:0/22:2(13Z,16Z))","PG 36:2",773.53381153,774.541088
"PI 34:0.
PI(12:0/22:0)",837.543743311925,"[M-H]-","
PI(12:0/22:0)","PI 34:0",837.54985653,838.557133
"PI 36:1.PI(14:0/22:1(11Z))",863.563715610592,"[M-H]-","PI(14:0/22:1(11Z))","PI 36:1",863.56550653,864.572783
"PI 36:4.PI(14:0/22:4(7Z,10Z,13Z,16Z))",857.514910197322,"[M-H]-","PI(14:0/22:4(7Z,10Z,13Z,16Z))","PI 36:4",857.51855653,858.525833
"PS 36:1.PS(14:0/22:1(11Z))",788.542950917943,"[M-H]-","PS(14:0/22:1(11Z))","PS 36:1",788.54471053,789.551987
"PS 38:4.PS(16:0/22:4(7Z,10Z,13Z,16Z))",810.521029929245,"[M-H]-","PS(16:0/22:4(7Z,10Z,13Z,16Z))","PS 38:4",810.52906053,811.536337
"PS 38:5.PS(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))",808.505652902298,"[M-H]-","PS(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))","PS 38:5",808.51341053,809.520687
